model,rmse,mae,r2
ols,17.009100466795175,12.14701310379497,0.32516015940490484
ridge,17.009151449614034,12.150085638574048,0.3251561138895077
elasticnet,17.009847324566056,12.164913042040375,0.32510089460775893
lasso,17.009937940406036,12.163883813788205,0.325093703865706
