feature,coef,abs_coef
genre_iranian,-3.247271329832669,3.247271329832669
genre_romance,-2.983894116787278,2.983894116787278
genre_k-pop,2.4269986692344245,2.4269986692344245
genre_detroit-techno,-2.3986099392885847,2.3986099392885847
genre_pop-film,2.356312422294526,2.356312422294526
genre_chicago-house,-2.318076449190467,2.318076449190467
genre_latin,-2.299264046833876,2.299264046833876
genre_kids,-2.0418054149751654,2.0418054149751654
genre_grindcore,-1.9645768222392783,1.9645768222392783
genre_chill,1.923464562016755,1.923464562016755
genre_idm,-1.8866656346102542,1.8866656346102542
genre_classical,-1.8492515198027635,1.8492515198027635
genre_jazz,-1.7537924548438166,1.7537924548438166
genre_country,-1.7195883436031925,1.7195883436031925
genre_honky-tonk,-1.7083100912454443,1.7083100912454443
genre_anime,1.5177323679160237,1.5177323679160237
genre_breakbeat,-1.5068554901717406,1.5068554901717406
genre_grunge,1.4907708503639476,1.4907708503639476
genre_emo,1.4332675945779445,1.4332675945779445
genre_indian,1.3987352601227916,1.3987352601227916
genre_sertanejo,1.381021339200813,1.381021339200813
genre_tango,-1.3783097370456674,1.3783097370456674
genre_happy,-1.3118423220651745,1.3118423220651745
genre_sad,1.2740699713026356,1.2740699713026356
genre_dance,-1.2678175505193763,1.2678175505193763
genre_pagode,1.2406636461146758,1.2406636461146758
genre_piano,1.2213573833302556,1.2213573833302556
genre_black-metal,-1.2063845865919889,1.2063845865919889
genre_ambient,1.136248989005302,1.136248989005302
genre_party,-1.1100843038462638,1.1100843038462638
genre_british,1.0765347320064793,1.0765347320064793
genre_deep-house,1.0656066519808396,1.0656066519808396
genre_rock,-1.0645675348484207,1.0645675348484207
genre_brazil,1.0603788820789244,1.0603788820789244
valence,-1.055763587757565,1.055763587757565
genre_latino,1.0510150398833182,1.0510150398833182
genre_afrobeat,-0.9939798616376007,0.9939798616376007
genre_hard-rock,0.9876523600061478,0.9876523600061478
genre_mandopop,0.9701727137443509,0.9701727137443509
genre_progressive-house,0.9683983446416531,0.9683983446416531
genre_j-idol,-0.9502085132371758,0.9502085132371758
genre_opera,-0.8744126847933485,0.8744126847933485
genre_metalcore,0.8737096887642657,0.8737096887642657
genre_forro,0.8680609614839895,0.8680609614839895
genre_electronic,0.8554145401690813,0.8554145401690813
genre_alternative,-0.851813184044837,0.851813184044837
genre_heavy-metal,-0.8462907971773626,0.8462907971773626
genre_acoustic,0.8360720308024755,0.8360720308024755
genre_j-dance,-0.8211984560092883,0.8211984560092883
genre_study,-0.814780108047563,0.814780108047563
genre_drum-and-bass,-0.7941597673479369,0.7941597673479369
genre_hip-hop,0.763370147054381,0.763370147054381
danceability,0.752030757486181,0.752030757486181
genre_bluegrass,-0.7424094592186542,0.7424094592186542
genre_singer-songwriter,0.7353157100873915,0.7353157100873915
genre_world-music,0.7230456086591238,0.7230456086591238
genre_hardstyle,-0.7183254260901993,0.7183254260901993
genre_mpb,0.6512669373906677,0.6512669373906677
genre_power-pop,-0.638529810630173,0.638529810630173
genre_disney,-0.618369531633171,0.618369531633171
genre_garage,0.6073624506345822,0.6073624506345822
genre_comedy,-0.5787689792900842,0.5787689792900842
genre_dub,0.570030959453502,0.570030959453502
acousticness,-0.5697393991452624,0.5697393991452624
genre_french,0.5682671578128249,0.5682671578128249
genre_soul,-0.5639406580476907,0.5639406580476907
genre_turkish,0.5593864738971426,0.5593864738971426
genre_spanish,0.5426982297713566,0.5426982297713566
genre_goth,-0.51594619234905,0.51594619234905
genre_salsa,-0.5045521466380737,0.5045521466380737
genre_pop,0.5031993859215164,0.5031993859215164
genre_folk,0.4997598477768075,0.4997598477768075
genre_Other,0.4974865466117882,0.4974865466117882
genre_punk-rock,0.48348664706834193,0.48348664706834193
genre_psych-rock,0.4517885854960631,0.4517885854960631
genre_malay,-0.4399360238750153,0.4399360238750153
genre_edm,0.4382010582784858,0.4382010582784858
instrumentalness,-0.43290877129974475,0.43290877129974475
genre_gospel,0.4294290421155741,0.4294290421155741
genre_rockabilly,-0.42072050336960964,0.42072050336960964
genre_samba,0.4147018532364142,0.4147018532364142
genre_new-age,-0.39984484859279346,0.39984484859279346
liveness,-0.3966185474200244,0.3966185474200244
genre_guitar,-0.39322665861298844,0.39322665861298844
genre_indie-pop,0.38848020525319,0.38848020525319
energy,-0.3881487388579079,0.3881487388579079
genre_r-n-b,0.38744368055454353,0.38744368055454353
mode,-0.380845600207129,0.380845600207129
speechiness,-0.3755116699682966,0.3755116699682966
