feature,coef,abs_coef
PC1,1.3449910578811417,1.3449910578811417
PC9,-1.1235812803615315,1.1235812803615315
PC11,1.0618710938335254,1.0618710938335254
PC3,0.8259171958260348,0.8259171958260348
PC8,0.8189762998880467,0.8189762998880467
PC12,-0.7183759405374041,0.7183759405374041
PC2,-0.576752919819697,0.576752919819697
PC7,-0.5302833051541115,0.5302833051541115
PC5,0.4962805302717842,0.4962805302717842
PC4,-0.19104943256259407,0.19104943256259407
PC13,-0.18396316356226444,0.18396316356226444
PC10,0.18230835844943935,0.18230835844943935
PC6,-0.06934492882363648,0.06934492882363648
