feature,coef,abs_coef
PC45,-3.0839421806195757,3.0839421806195757
PC98,-2.9061650751155677,2.9061650751155677
PC22,-2.805920990657821,2.805920990657821
PC7,-2.360014574875302,2.360014574875302
PC50,2.2434964238118087,2.2434964238118087
PC40,2.228715500389472,2.228715500389472
PC78,-2.198776214962463,2.198776214962463
PC57,1.9896563504617382,1.9896563504617382
PC18,1.9343631076711598,1.9343631076711598
PC74,1.8896933301290741,1.8896933301290741
PC11,-1.7977156375692331,1.7977156375692331
PC37,1.7886212416283251,1.7886212416283251
PC14,1.729505261176835,1.729505261176835
PC105,-1.6049546902333014,1.6049546902333014
PC65,-1.559565848281542,1.559565848281542
PC5,-1.5383644813600583,1.5383644813600583
PC41,-1.5312403459734587,1.5312403459734587
PC30,1.5218833868357136,1.5218833868357136
PC49,1.5005130873419759,1.5005130873419759
PC15,-1.4927362533586515,1.4927362533586515
PC1,1.4889729241926404,1.4889729241926404
PC95,1.4721191608795008,1.4721191608795008
PC51,-1.4422637104414382,1.4422637104414382
PC21,1.4335662417646644,1.4335662417646644
PC9,1.4230180364550544,1.4230180364550544
PC77,1.3749325987653689,1.3749325987653689
PC12,-1.3313518870717973,1.3313518870717973
PC43,1.3141223891698417,1.3141223891698417
PC62,-1.2685329129024046,1.2685329129024046
PC58,1.2571362784093043,1.2571362784093043
PC82,-1.1831059525690961,1.1831059525690961
PC46,1.1480493834486263,1.1480493834486263
PC117,1.1258127586493512,1.1258127586493512
PC52,-1.1092829750033244,1.1092829750033244
PC13,1.08406302559844,1.08406302559844
PC28,-1.0667232349946174,1.0667232349946174
PC20,-1.0608188236098488,1.0608188236098488
PC81,-1.0353548831069024,1.0353548831069024
PC3,-1.024759618903155,1.024759618903155
PC109,0.9919790222978305,0.9919790222978305
PC2,-0.9635065853222081,0.9635065853222081
PC44,0.948886420431037,0.948886420431037
PC93,-0.8722294631441883,0.8722294631441883
PC72,0.8612447536166521,0.8612447536166521
PC108,0.8563670620367618,0.8563670620367618
PC61,0.8303539549968428,0.8303539549968428
PC39,-0.829543344541057,0.829543344541057
PC23,0.8257697589467083,0.8257697589467083
PC53,0.8087371664161791,0.8087371664161791
PC121,-0.7752837798632284,0.7752837798632284
PC10,0.7606487654530026,0.7606487654530026
PC88,0.7601369992871266,0.7601369992871266
PC69,-0.7507591761884468,0.7507591761884468
PC113,0.7488572158196143,0.7488572158196143
PC101,-0.7106152043534621,0.7106152043534621
PC92,0.6931830623474526,0.6931830623474526
PC70,-0.6833228778659051,0.6833228778659051
PC110,-0.6750393571490321,0.6750393571490321
PC63,0.6601898857200013,0.6601898857200013
PC31,0.6591523477830562,0.6591523477830562
PC8,0.6510574028865783,0.6510574028865783
PC33,-0.6219272036735545,0.6219272036735545
PC94,0.6020433842722487,0.6020433842722487
PC25,-0.6001352132986517,0.6001352132986517
PC26,-0.5881695978544818,0.5881695978544818
PC68,0.5462728586770649,0.5462728586770649
PC4,-0.5454785238814812,0.5454785238814812
PC36,-0.5360629144530397,0.5360629144530397
PC27,0.5207099334649553,0.5207099334649553
PC118,0.5033500765294994,0.5033500765294994
PC90,0.4764526770630959,0.4764526770630959
PC104,0.47270522394449016,0.47270522394449016
PC16,-0.455874247939048,0.455874247939048
PC75,0.4550115637645981,0.4550115637645981
PC48,-0.45412087068476753,0.45412087068476753
PC54,-0.4512908061727059,0.4512908061727059
PC97,0.4390830164574073,0.4390830164574073
PC119,0.42924768222411286,0.42924768222411286
PC24,0.42032625667739054,0.42032625667739054
PC107,-0.41831693540203113,0.41831693540203113
PC34,-0.4152706461652997,0.4152706461652997
PC6,-0.39050400095445326,0.39050400095445326
PC96,0.38463369136265796,0.38463369136265796
PC89,-0.3816332842894825,0.3816332842894825
PC19,-0.37950337170383736,0.37950337170383736
PC106,-0.369684654365978,0.369684654365978
PC66,0.36616838377968786,0.36616838377968786
PC115,0.3568020599674224,0.3568020599674224
PC47,0.3562648580022767,0.3562648580022767
PC67,0.3474633444877069,0.3474633444877069
PC112,-0.3443556672902956,0.3443556672902956
PC73,0.34301288022030213,0.34301288022030213
PC87,0.33909999743739805,0.33909999743739805
PC17,-0.3213386374098822,0.3213386374098822
PC84,0.2939332748537639,0.2939332748537639
PC85,0.27805534472897303,0.27805534472897303
PC100,-0.2592170360001223,0.2592170360001223
PC114,-0.255764797913729,0.255764797913729
PC86,0.24075752868403993,0.24075752868403993
PC102,-0.2018272913637541,0.2018272913637541
PC76,-0.18582419762010943,0.18582419762010943
PC79,0.17425548673167407,0.17425548673167407
PC83,0.17162749919496295,0.17162749919496295
PC32,0.16978801536308039,0.16978801536308039
PC29,0.16284919887207508,0.16284919887207508
PC60,-0.14592706404861147,0.14592706404861147
PC59,-0.1388702603081296,0.1388702603081296
PC38,-0.12489548906642178,0.12489548906642178
PC35,0.10975932208136514,0.10975932208136514
PC42,0.10503700021102672,0.10503700021102672
PC99,-0.07528019779891136,0.07528019779891136
PC55,0.06340851522877732,0.06340851522877732
PC116,0.06338986633312618,0.06338986633312618
PC91,0.057936767987271265,0.057936767987271265
PC64,-0.05585759221873464,0.05585759221873464
PC80,-0.051039162905277935,0.051039162905277935
PC71,0.04314771153640957,0.04314771153640957
PC111,-0.034453613814767615,0.034453613814767615
PC120,-0.028797467788420048,0.028797467788420048
PC56,0.026954503759261495,0.026954503759261495
PC103,-0.0023260290470800507,0.0023260290470800507
