variant,model,rmse,mae,r2,selected
all_features,ols,17.009100466795175,12.14701310379497,0.3251601594049048,True
feature_selection_rfe_30,ridge,17.959512349245355,13.853686437867427,0.2476375677337022,False
pca_all_features,ridge,17.13944387375304,12.280100737169253,0.3124402497989872,False
pca_continuous_only,ols,20.454081724448542,17.00610907913256,0.0207874601732229,False
