variant,model,roc_auc,pr_auc,f1,precision,accuracy,sensitivity,specificity,kappa
all_features,logreg_classweight_l2,0.8229402885800368,0.5960504235678173,0.5836745361094172,0.46398891966759004,0.7178866587957498,0.7865696172810519,0.694819020581973,0.3910970912561684
all_features,logreg_unbalanced_l2,0.8228269913451763,0.5962002043455625,0.5049298708512706,0.6179469748470429,0.7895513577331759,0.4268607654378962,0.9113634571406041,0.37692948187641695
feature_selection_rfe_30,logreg_unbalanced_l2,0.6980745987580926,0.3891183100835268,0.16831892005905927,0.8278008298755186,0.767237308146399,0.0936839633716835,0.9934547748600268,0.12351176135525033
feature_selection_rfe_30,logreg_classweight_l2,0.6980745061798651,0.3891183100835269,0.5039178764502217,0.33988856112749916,0.5178866587957497,0.9739375440244189,0.36471887075151804,0.2091160036610853
pca_all_features,logreg_unbalanced_l2,0.8256911108286498,0.6024699647065889,0.48611508731749214,0.6300556586270872,0.7880755608028335,0.39571195525518527,0.9211795398845759,0.3612874529942177
pca_all_features,logreg_classweight_l2,0.8253918120059234,0.6012831367235199,0.5946420729029425,0.47716380039469974,0.7275678866587958,0.7888604054998835,0.7067752391493398,0.4076572668020758
pca_continuous_only,logreg_unbalanced_l2,0.5978104407257613,0.3122629767623353,0.0,0.0,0.746694214876033,0.0,1.0,0.0
pca_continuous_only,logreg_classweight_l2,0.5966496697975835,0.3091594416639807,0.4106791159092567,0.29889573157782967,0.5230814639905549,0.6560242367746446,0.4779824492054708,0.0960794314678155
