variant,model,roc_auc,pr_auc,f1,precision,accuracy,sensitivity,specificity,kappa,selected
all_features,logreg_classweight_l2,0.8229402885800368,0.5960504235678173,0.5836745361094172,0.46398891966759,0.7178866587957498,0.7865696172810519,0.694819020581973,0.3910970912561684,False
feature_selection_rfe_30,logreg_classweight_l2,0.6980745061798651,0.3891183100835269,0.5039178764502217,0.3398885611274991,0.5178866587957497,0.9739375440244188,0.364718870751518,0.2091160036610853,False
pca_all_features,logreg_classweight_l2,0.8253918120059234,0.6012831367235199,0.5946420729029425,0.4771638003946997,0.7275678866587958,0.7888604054998835,0.7067752391493398,0.4076572668020758,True
pca_continuous_only,logreg_classweight_l2,0.5966496697975835,0.3091594416639807,0.4106791159092567,0.2988957315778296,0.5230814639905549,0.6560242367746446,0.4779824492054708,0.0960794314678155,False
